"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Nõ";0;"Fejér megye";13305;13331,5
1990;"Nõ";0;"Komárom-Esztergom megye";9520;9437,5
1990;"Nõ";0;"Veszprém megye";11731;11581,5
1990;"Nõ";0;"Gyõr-Moson-Sopron megye";12288;12247
1990;"Nõ";0;"Vas megye";7724;7698
1990;"Nõ";0;"Zala megye";8653;8537,5
1990;"Nõ";0;"Baranya megye";12009;11991,5
1990;"Nõ";0;"Somogy megye";9790;9773
1990;"Nõ";0;"Tolna megye";7512;7536
1990;"Nõ";0;"Borsod-Abaúj-Zemplén megye";25259;25139
1990;"Nõ";0;"Heves megye";9410;9364
1990;"Nõ";0;"Nógrád megye";6674;6637,5
1990;"Nõ";0;"Hajdú-Bihar megye";18162;18248
1990;"Nõ";0;"Szabolcs-Szatmár-Bereg megye";20797;20550
1990;"Nõ";0;"Jász-Nagykun-Szolnok megye";13264;13229,5
1990;"Nõ";0;"Bács-Kiskun megye";16463;16468
1990;"Nõ";0;"Békés megye";11850;11805,5
1990;"Nõ";0;"Csongrád megye";12052;12084,5
1990;"Nõ";5;"Budapest";51864;51098
1990;"Nõ";5;"Pest megye";29623;29194
1990;"Nõ";5;"Fejér megye";14096;13894
1990;"Nõ";5;"Komárom-Esztergom megye";10205;10129
1990;"Nõ";5;"Veszprém megye";12870;12693,5
1990;"Nõ";5;"Gyõr-Moson-Sopron megye";13649;13369
1990;"Nõ";5;"Vas megye";8585;8408
1990;"Nõ";5;"Zala megye";9685;9568,5
1990;"Nõ";5;"Baranya megye";12840;12671,5
1990;"Nõ";5;"Somogy megye";10509;10323
1990;"Nõ";5;"Tolna megye";8230;8114,5
1990;"Nõ";5;"Borsod-Abaúj-Zemplén megye";25733;25452
1990;"Nõ";5;"Heves megye";10210;10014
1990;"Nõ";5;"Nógrád megye";6945;6864,5
1990;"Nõ";5;"Hajdú-Bihar megye";18404;18196,5
1990;"Nõ";5;"Szabolcs-Szatmár-Bereg megye";21219;21092
1990;"Nõ";5;"Jász-Nagykun-Szolnok megye";13988;13705,5
1990;"Nõ";5;"Bács-Kiskun megye";17022;16879
1990;"Nõ";5;"Békés megye";12368;12190
1990;"Nõ";5;"Csongrád megye";12749;12530,5
1990;"Nõ";10;"Budapest";72687;70792
1990;"Nõ";10;"Pest megye";39643;38567
